Project,Type,Category,Installed_MW,Connection_Date,County,Connection_Type,Zone,Latitude,Longitude
Ballybane 3 (Glanta Commons) Wind Farm,Wind,Onshore,4.45,29-01-2017,Cork,DSO,South,51.8979,-8.4706
Gortnacloghy Wind Farm,Wind,Onshore,4.4,31-01-2018,Roscommon,DSO,West,53.627,-8.19
Lahanaght Hill Wind Farm,Wind,Onshore,4.25,01-01-2006,Cork,DSO,South,51.8979,-8.4706
Rahora Wind Farm,Wind,Onshore,4.25,01-05-2009,Waterford,DSO,South,52.2593,-7.1101
Three Trees,Wind,Onshore,4.25,18-12-2019,Donegal,DSO,North,54.6544,-8.1041
Skehanagh Wind Farm,Wind,Onshore,4.25,01-04-2006,Cork,DSO,South,51.8979,-8.4706
Cloonlusk Wind Farm,Wind,Onshore,4.25,26-01-2018,Mayo,DSO,West,53.9846,-9.2822
Leabeg Wind Farm,Wind,Onshore,4.25,17-09-2015,Cork,DSO,South,51.8979,-8.4706
Meenkeeragh Wind Farm,Wind,Onshore,4.2,29-04-2009,Donegal,DSO,North,54.6544,-8.1041
Ballyduff Wind Farm,Wind,Onshore,4.0,13-01-2017,Wexford,DSO,East,52.3369,-6.4629
Ballynancoran Wind Farm,Wind,Onshore,4.0,24-07-2013,Wexford,DSO,East,52.3369,-6.4629
Moneenatieve Wind Farm (1),Wind,Onshore,3.96,23-09-2005,Monaghan,DSO,North,54.2498,-6.9683
Beenageeha Wind Farm,Wind,Onshore,3.96,01-10-2000,Kerry,DSO,South,52.1545,-9.5669
Knocknalour Wind Farm G3,Wind,Onshore,3.95,20-06-2013,Wexford,DSO,East,52.3369,-6.4629
Templederry Wind Farm,Wind,Onshore,3.9,26-10-2012,Tipperary,DSO,South,52.4732,-8.1615
Scartaglen 2 Wind Farm,Wind,Onshore,3.8,12-12-2017,Kerry,DSO,South,52.1545,-9.5669
Roosky Wind Farm,Wind,Onshore,3.6,25-09-2015,Mayo,DSO,West,53.9846,-9.2822
Clogheravaddy Wind Farm (Phase 3),Wind,Onshore,3.6,27-07-2023,Donegal,DSO,North,54.6544,-8.1041
Ballaman (Kennystown) Wind Farm,Wind,Onshore,3.6,28-09-2012,Wexford,DSO,East,52.3369,-6.4629
Carrane Hill Wind Farm,Wind,Onshore,3.4,01-11-2006,Monaghan,DSO,North,54.2498,-6.9683
Black Banks (1),Wind,Onshore,3.4,01-09-2001,Monaghan,DSO,North,54.2498,-6.9683
Meenanilta (3),Wind,Onshore,3.4,19-12-2011,Donegal,DSO,North,54.6544,-8.1041
Meenadreen Wind Farm,Wind,Onshore,3.4,01-04-2003,Donegal,DSO,North,54.6544,-8.1041
Monaincha Bog Wind Farm (Gate 2),Wind,Onshore,3.4,31-01-2014,Tipperary,DSO,South,52.4732,-8.1615
Cuillalea Wind Farm,Wind,Onshore,3.4,01-04-2004,Mayo,DSO,West,53.9846,-9.2822
CORNEEN Wind Farm,Wind,Onshore,3.0,01-08-2001,Cavan,DSO,North,54.0,-7.0
Slievereagh Wind Farm (1),Wind,Onshore,3.0,25-09-2009,Tipperary,DSO,South,52.4732,-8.1615
Mountain Lodge Wind Farm,Wind,Onshore,3.0,01-04-2008,Dublin,DSO,East,53.3498,-6.2603
Rossaveel Wind Farm,Wind,Onshore,3.0,28-06-2019,Galway,DSO,West,53.2707,-9.0568
Cappawhite A Wind Farm (Gate 2),Wind,Onshore,2.92,11-08-2017,Tipperary,DSO,South,52.4732,-8.1615
Carrowleagh Wind Farm Ext. (2),Wind,Onshore,2.65,24-05-2019,Donegal,DSO,North,54.6544,-8.1041
Knock South Wind Farm (Inverin),Wind,Onshore,2.64,01-01-1999,Galway,DSO,West,53.2707,-9.0568
Tullynamalra Wind Farm,Wind,Onshore,2.638,15-04-2019,Meath,DSO,East,53.6056,-6.6564
Killybegs Wind Farm,Wind,Onshore,2.55,19-12-2007,Donegal,DSO,North,54.6544,-8.1041
Meenanilta Wind Farm (1),Wind,Onshore,2.55,01-09-2003,Donegal,DSO,North,54.6544,-8.1041
Carrig Wind Farm,Wind,Onshore,2.55,01-04-2006,Cork,DSO,South,51.8979,-8.4706
Curraghgraigue Wind Farm,Wind,Onshore,2.55,01-01-2004,Tipperary,DSO,South,52.4732,-8.1615
Cronelea Upper Wind Farm,Wind,Onshore,2.55,01-07-2005,Carlow,DSO,East,52.8365,-6.9341
Ballinlough Wind Farm,Wind,Onshore,2.55,01-01-2006,Tipperary,DSO,South,52.4732,-8.1615
Mace Upper Wind Farm,Wind,Onshore,2.55,20-02-2010,Tipperary,DSO,South,52.4732,-8.1615
Bunnahowen Wind Farm (Temp),Wind,Onshore,2.55,18-12-2019,Mayo,DSO,West,53.9846,-9.2822
Beale Hill (2),Wind,Onshore,2.55,01-08-2003,Roscommon,DSO,West,53.627,-8.19
